开盘,最高,最低,收盘,波幅,涨跌
0.1369,0.1378,0.1361,0.1371,0.0125 ,0.0000 
0.1372,0.1372,0.1354,0.1357,0.0133 ,-0.0102 
0.1357,0.1359,0.1347,0.1347,0.0089 ,-0.0074 
0.1348,0.1361,0.1346,0.1361,0.0111 ,0.0104 
0.136,0.1364,0.1353,0.1363,0.0081 ,0.0015 
0.1362,0.1366,0.1359,0.1359,0.0052 ,-0.0029 
0.1359,0.1359,0.1343,0.1343,0.0119 ,-0.0118 
0.1342,0.1348,0.1341,0.1344,0.0052 ,0.0007 
0.134,0.1344,0.1338,0.134,0.0045 ,-0.0030 
0.1344,0.1349,0.1321,0.1341,0.0212 ,0.0007 
0.1341,0.1352,0.134,0.1352,0.0090 ,0.0082 
0.1353,0.137,0.1351,0.1354,0.0141 ,0.0015 
0.1355,0.1359,0.1346,0.135,0.0097 ,-0.0030 
0.1347,0.1361,0.1346,0.1352,0.0111 ,0.0015 
0.135,0.137,0.1348,0.1368,0.0163 ,0.0118 
0.1369,0.1369,0.1358,0.1366,0.0081 ,-0.0015 
0.1365,0.1371,0.1359,0.1365,0.0088 ,-0.0007 
0.1364,0.1366,0.1359,0.136,0.0052 ,-0.0037 
0.1359,0.1366,0.1357,0.1364,0.0066 ,0.0029 
0.1364,0.1366,0.1354,0.136,0.0089 ,-0.0029 
0.136,0.1361,0.1342,0.1355,0.0142 ,-0.0037 
0.1354,0.1355,0.1348,0.1354,0.0052 ,-0.0007 
0.1346,0.1353,0.1339,0.1349,0.0105 ,-0.0037 
0.1349,0.1352,0.1345,0.1351,0.0052 ,0.0015 
0.1354,0.1354,0.1354,0.1354,0.0000 ,0.0022 
