开盘,最高,最低,收盘,波幅,涨跌
0.1406,0.1421,0.1406,0.1414,0.0107 ,0.0000 
0.1414,0.1423,0.1414,0.1419,0.0064 ,0.0035 
0.1419,0.1419,0.141,0.1411,0.0064 ,-0.0056 
0.1411,0.1411,0.1396,0.1397,0.0107 ,-0.0099 
0.1397,0.1406,0.1397,0.1404,0.0064 ,0.0050 
0.1404,0.1404,0.1394,0.1395,0.0072 ,-0.0064 
0.1395,0.1402,0.1395,0.14,0.0050 ,0.0036 
0.14,0.14,0.1394,0.1396,0.0043 ,-0.0029 
0.1399,0.1401,0.1398,0.1398,0.0021 ,0.0014 
0.1395,0.1398,0.1392,0.1395,0.0043 ,-0.0021 
0.1395,0.1395,0.1381,0.1387,0.0101 ,-0.0057 
0.1387,0.1397,0.1387,0.1396,0.0072 ,0.0065 
0.1397,0.1414,0.1397,0.1409,0.0122 ,0.0093 
0.141,0.1419,0.141,0.1419,0.0064 ,0.0071 
0.1419,0.1424,0.1416,0.1424,0.0056 ,0.0035 
0.1424,0.1439,0.1424,0.1436,0.0105 ,0.0084 
0.1436,0.1436,0.1428,0.1429,0.0056 ,-0.0049 
0.1429,0.1434,0.1429,0.1434,0.0035 ,0.0035 
0.1434,0.1435,0.1432,0.1435,0.0021 ,0.0007 
0.1435,0.1439,0.1435,0.1437,0.0028 ,0.0014 
0.1437,0.1437,0.1431,0.1433,0.0042 ,-0.0028 
0.1433,0.144,0.1431,0.144,0.0063 ,0.0049 
0.144,0.1441,0.1436,0.1438,0.0035 ,-0.0014 
0.1438,0.1439,0.1433,0.1434,0.0042 ,-0.0028 
0.1434,0.1437,0.1432,0.1435,0.0035 ,0.0007 
