开盘,最高,最低,收盘,波幅,涨跌
5.0529,5.0736,5.038,5.0447,0.0071 ,0.0000 
5.0639,5.0639,5.024,5.0543,0.0079 ,0.0019 
5.05,5.0535,5.0085,5.0085,0.0090 ,-0.0091 
5.0054,5.039,5.0018,5.0327,0.0074 ,0.0048 
5.0313,5.0696,5.0235,5.0655,0.0092 ,0.0065 
5.0682,5.0682,5.0457,5.0582,0.0045 ,-0.0014 
5.0623,5.07,5.0264,5.0276,0.0087 ,-0.0060 
5.0437,5.0477,4.9957,5.0045,0.0104 ,-0.0046 
4.9868,5.0026,4.969,4.9885,0.0068 ,-0.0032 
5.0002,5.0346,4.9238,4.9688,0.0225 ,-0.0039 
4.9586,4.9781,4.9343,4.9499,0.0089 ,-0.0038 
4.949,4.9876,4.9238,4.9505,0.0130 ,0.0001 
4.959,4.975,4.9258,4.9402,0.0100 ,-0.0021 
4.9385,4.9792,4.9243,4.9407,0.0111 ,0.0001 
4.9323,5.0351,4.9288,5.0351,0.0216 ,0.0191 
5.0336,5.0358,5.0071,5.0217,0.0057 ,-0.0027 
5.0217,5.0372,5.0098,5.0126,0.0055 ,-0.0018 
5.0062,5.0098,4.9748,4.9777,0.0070 ,-0.0070 
4.9885,5.0096,4.9841,4.987,0.0051 ,0.0019 
4.9886,4.9989,4.9761,4.9989,0.0046 ,0.0024 
4.9961,4.9975,4.949,4.9819,0.0098 ,-0.0034 
4.9819,4.9885,4.965,4.977,0.0047 ,-0.0010 
4.9669,5.0374,4.9669,5.0317,0.0142 ,0.0110 
5.0288,5.0361,4.9993,5.0022,0.0074 ,-0.0059 
5.0022,5.0022,4.9971,4.9971,0.0010 ,-0.0010 
